Site,Project,Project_Code,Stage,Site_Type,Resource_Oz_Au,Resource_Mt,Resource_Grade_gpt,Reserve_Oz_Au,Reserve_Mt,Reserve_Grade_gpt,Resource_Categories,Resource_Statuses,Estimate_Date,Distance_km,Nearest_FRS_Cluster,Dist_Edna_May_Mill_km,Dist_Lake_Johnston_Plant_km,Latitude,Longitude,Primary_Owner,All_Owners,N_Latest_Rows,N_Total_Historical
Lone Tree,Burracoppin Au / Askari,J00922,Undeveloped,Deposit,1733,0.049,1.1,0,0,0.0,Resource,Inferred,11/02/2025,20.9,70,27.7,197.4,-31.524611,118.559844,Gianni Peter Romeo,Gianni Peter Romeo; Forrestania Resources Limited (100.00%); FIrst Western Gold Pty Ltd (Royalties%),1,2
Edna May,Edna May - Westonia,J00357,Care and Maintenance,Mine,1665,0.037,1.4,1665,0.037,1.4,Resource,Measured,30/06/2024,20.8,70,1.6,197.7,-31.290245,118.698549,Ramelius Resources Ltd,"Evolution Mining Limited (Royalties%); Ramelius Resources Ltd (100.00%); Edna May Operations Pty Ltd; Royal Gold, Inc. (Royalties%)",1,85
Golden Age,Menzies,J01011,Undeveloped,Deposit,1655,0.032,1.61,0,0,0.0,Resource,"Indicated, Inferred",14/08/2007,13.3,29,285.8,282.9,-29.707217,121.035113,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED; Brightstar Resources Limited (100.00%); Horizon Minerals Limited; Menzies Operational and Mining Pty Ltd; Bml Ventures Pty Ltd,2,2
Hobbit,Bullabulling,J00033,Shut,Mine,1534,0.009,5.3,0,0,0.0,Resource,Inferred,08/12/2003,11.5,15,213.0,140.4,-30.997168,120.907688,Norton Gold FIelds Pty Ltd,Jervois Mining Ltd (Royalties%); Norton Gold FIelds Pty Ltd; Franco-Nevada Australia Pty Ltd. (Royalties%); Bullabulling Operations Pty Ltd; Bullabulling Gold Pty Ltd; Zijin Mining Group; Vox Royalty Australia Pty Ltd (Royalties%); Minerals 260 Limited (100.00%); Belararox Limited; Minerals 260 Holdings Pty Ltd,1,1
Cadonia,Cadonia,J01490,Shut,Mine,1505,0.004,11.7,0,0,0.0,Resource,Measured,26/03/1992,20.7,77,74.4,130.0,-31.425094,119.468459,Carnicelli Louie Eric,Carnicelli Louie Eric (100.00%),1,1
Sirdar UG,Gordon - Sirdar,J01307,Shut,Mine,1286,0.001,40.0,0,0,0.0,Resource,Indicated,01/12/1990,41.5,25,292.3,221.9,-30.450334,121.594507,FMR INVESTMENTS PTY LIMITED,FMR INVESTMENTS PTY LIMITED (100.00%),1,1
Geko,Bullabulling North,J01519,Operating,Mine,1166,0.039,0.93,45320,1.285,1.1,Resource,Measured,30/06/2025,16.6,15,215.6,154.7,-30.862362,120.901857,Beacon Minerals Limited,Beacon Minerals Limited (100.00%); Bulletin Resources Ltd (Royalties%); Coolgardie Minerals Limited; Beacon Mining Pty Ltd; Gekogold Pty Ltd (Royalties%); Geko Pit Pty Ltd (Royalties%); Geko Explore Pty Ltd,1,25
Tommies Dam,Mt Monger South,J05783,Undeveloped,Deposit,1136,0.022,1.61,0,0,0.0,Resource,Inferred,30/04/2011,40.8,25,311.0,188.6,-31.059645,121.954893,Goldarc Resources Limited,Goldarc Resources Limited (20.00%); Cascade Resources Limited; Loyal Metals Ltd (80.00%); Desert Minerals Ltd,1,1
Zeus S,Marvel Loch - Southern Cross,J00226,Undeveloped,Deposit,1010,0.029,1.08,0,0,0.0,Resource,Inferred,30/04/2015,38.7,77,87.2,112.4,-31.575882,119.560522,Minjar Gold Pty Ltd,"Newcrest Mining Limited (Royalties%); Adelong Gold Limited (Royalties%); Minjar Gold Pty Ltd; Royal Gold, Inc. (Royalties%); Barto Gold Mining Pty Ltd (100.00%); Shandong Tianye Group Bid Co Pty Ltd; International Royalty Corporation (Royalties%)",1,1
Randalls Tailings,Randalls Tailings,J01315,Shut,Infrastructure,965,0.015,2.0,0,0,0.0,Resource,Measured,01/01/1991,48.0,25,335.5,208.0,-31.046964,122.211711,,,1,1
